Tempo,Weight on Wheels,Altitude Pressão,Pitot raw,Pitot velocidade calibrada,Pitot velocidade calibrada filtrado,Velocidade Calibrada GPS,Rotação da hélice,Deflexão profundor,Deflexão aileron,Deflexão leme,Taxa de rolamento,Taxa de arfagem,Taxa de guinada,Fator de carga X,Fator de carga Y,Fator de carga Z,Posição X,Posição Y,Posição Z filtrado,Posição Z,Atitude,Inclinação lateral,Tempo de voo
s,-,m,volt analog,m/s,m/s,m/s,rpm,°,°,°,°/s,°/s,°/s,g,g,g,m,m,m,m,°,°,s
   0.00,1, 26.7610, 40.0000, -2.2489, -0.1124,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0077,  0.0176,  0.0447, -0.0049,  0.0057,  1.0016,   0.0000,   0.0000, -0.0671, -0.6711,-29.8380, 27.2354,   0.00
   0.08,1, 26.7610, 40.2000, -1.2984, -0.1774,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0071,  0.0382,  0.0286,  0.0111, -0.0074,  1.0011,   0.0000,   0.0000, -0.1342, -0.6711,-31.6974, 40.4063,   0.00
   0.16,1, 27.8469, 40.2000, -1.2984, -0.2423,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0073,  0.0155,  0.0259,  0.0113, -0.0001,  1.0019,   0.0000,   0.0000, -0.0922,  0.4201,-23.5213, 34.3285,   0.00
   0.24,1, 27.8469, 39.6000, -3.4353, -0.4140,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0100,  0.0204,  0.0062,  0.0057,  0.0100,  0.9956,   0.0000,   0.0000, -0.0502,  0.4201,-13.6726, 19.9895,   0.00
   0.31,1, 27.5140, 40.0000, -2.2489, -0.5265,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0077,  0.0216,  0.0198,  0.0024,  0.0073,  1.0004,   0.0000,   0.0000, -0.0417,  0.0846, -7.3143,  7.4084,   0.00
   0.39,1, 28.9329, 40.4000,  1.2984, -0.4616,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0098,  0.0275,  0.0215,  0.0038,  0.0071,  0.9960,   0.0000,   0.0000,  0.1089,  1.5061, -6.4133,  2.5427,   0.00
   0.47,1, 27.8469, 39.8000, -2.9033, -0.6067,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0083,  0.0344,  0.0316,  0.0061,  0.0137,  0.9974,   0.0000,   0.0000,  0.1509,  0.4201, -9.0711,  6.8671,   0.00
   0.55,1, 27.5140, 38.4000, -5.6596, -0.8897,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0081,  0.0158,  0.0248,  0.0094,  0.0084,  1.0060,   0.0000,   0.0000,  0.1593,  0.0846,-11.3355, 15.3083,   0.00
   0.63,1, 27.5140, 40.0000, -2.2489, -1.0022,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0059,  0.0391,  0.0080, -0.0238,  0.0002,  0.9919,   0.0000,   0.0000,  0.1678,  0.0846,-11.2768, 19.4268,   0.00
   0.71,1, 27.5140, 40.2000, -1.2984, -1.0671,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0151,  0.0595,  0.0247, -0.0172, -0.0018,  0.9881,   0.0000,   0.0000,  0.1762,  0.0846,-11.3827, 15.8584,   0.00
   0.78,1, 27.5140, 40.0000, -2.2489, -1.1795,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0075,  0.0286,  0.0174,  0.0039,  0.0120,  1.0006,   0.0000,   0.0000,  0.2518,  0.0846,-10.8879,  7.8936,   0.00
   0.86,1, 27.5140, 39.0000, -4.6815, -1.4136,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0108,  0.0250,  0.0316,  0.0206,  0.0224,  1.0052,   0.0000,   0.0000,  0.3274,  0.0846, -8.3772,  2.2057,   0.00
   0.94,1, 28.5973, 39.8000, -2.9033, -1.5588,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0082,  0.0386,  0.0139,  0.0262,  0.0194,  1.0042,   0.0000,   0.0000,  0.4024,  1.1705, -4.2991,  2.4268,   0.00
   1.02,1, 27.5140, 38.8000, -5.0287, -1.8102,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0089,  0.0236,  0.0159,  0.0154,  0.0216,  1.0000,   0.0000,   0.0000,  0.3689,  0.0846, -0.8734,  6.8479,   0.00
   1.10,1, 27.5140, 39.8000, -2.9033, -1.9554,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0071,  0.0123,  0.0234,  0.0102,  0.0133,  1.0016,   0.0000,   0.0000,  0.3689,  0.0846, -0.6876, 11.3836,   0.00
   1.18,1, 27.5140, 39.8000, -2.9033, -2.1005,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0086,  0.0172,  0.0230,  0.0059,  0.0007,  1.0021,   0.0000,   0.0000,  0.2267,  0.0846, -3.6855, 12.0171,   0.00
   1.26,1, 28.2644, 39.8000, -2.9033, -2.2457,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0088,  0.0108,  0.0170, -0.0039,  0.0047,  0.9974,   0.0000,   0.0000,  0.2685,  0.8376, -7.3700,  7.8835,   0.00
   1.34,1, 27.1784, 38.6000, -5.3535, -2.5134,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0087,  0.0201,  0.0327,  0.0087,  0.0065,  1.0002,   0.0000,   0.0000,  0.2346, -0.2537, -8.9730,  2.5743,   0.00
   1.41,1, 27.5140, 39.6000, -3.4353, -2.6851,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0112,  0.0180,  0.0200,  0.0103,  0.0033,  0.9988,   0.0000,   0.0000,  0.2346,  0.0846, -6.4252, -0.1784,   0.00
   1.49,1, 28.2644, 38.8000, -5.0287, -2.9366,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0099,  0.0218,  0.0199,  0.0081,  0.0030,  0.9991,   0.0000,   0.0000,  0.3099,  0.8376, -1.7984,  0.8129,   0.00
   1.57,1, 27.1784, 40.0000, -2.2489, -2.9366,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0104,  0.0205,  0.0203,  0.0052,  0.0023,  0.9989,   0.0000,   0.0000,  0.2761, -0.2537,  1.3265,  4.0259,   0.00
   1.65,1, 28.5973, 38.4000, -5.6596, -3.1546,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0091,  0.0194,  0.0203,  0.0042,  0.0036,  1.0001,   0.0000,   0.0000,  0.3847,  1.1705,  0.8136,  6.6510,   0.00
   1.73,1, 27.1784, 39.6000, -3.4353, -3.2615,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0086,  0.0211,  0.0229,  0.0011,  0.0009,  1.0015,   0.0000,   0.0000,  0.2423, -0.2537, -2.4111,  6.7226,   0.00
   1.80,1, 27.1784, 40.0000, -2.2489, -3.2022,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0087,  0.0198,  0.0215, -0.0013,  0.0021,  1.0016,   0.0000,   0.0000,  0.2085, -0.2537, -5.5253,  4.2525,   0.00
   1.88,1, 27.1784, 39.8000, -2.9033, -3.2349,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0087,  0.0225,  0.0229, -0.0004,  0.0005,  1.0028,   0.0000,   0.0000,  0.1747, -0.2537, -6.1637,  1.1930,   0.00
   1.96,1, 27.1784, 40.2000, -1.2984, -3.3647,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0093,  0.0227,  0.0149,  0.0012, -0.0001,  1.0022,   0.0000,   0.0000,  0.1408, -0.2537, -3.9126, -0.4031,   0.00
   2.05,1, 27.1784, 39.6000, -3.4353, -3.3913,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0095,  0.0185,  0.0113,  0.0036,  0.0002,  0.9979,   0.0000,   0.0000,  0.0317, -0.2537, -0.5422,  0.2403,   0.00
   2.12,1, 27.1784, 39.6000, -3.4353, -3.2801,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0115,  0.0179,  0.0067,  0.0006, -0.0019,  0.9959,   0.0000,   0.0000,  0.0317, -0.2537,  1.4705,  2.2255,   0.00
   2.20,1, 28.2644, 40.0000, -2.2489, -3.2801,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0098,  0.0182,  0.0215, -0.0046,  0.0058,  0.9987,   0.0000,   0.0000,  0.1070,  0.8376,  0.7174,  3.7476,   0.00
   2.29,1, 28.2644, 40.0000, -2.2489, -3.3276,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0077,  0.0203,  0.0299, -0.0047,  0.0038,  1.0010,   0.0000,   0.0000,  0.1070,  0.8376, -2.0054,  4.0202,   0.00
   2.36,1, 28.2644, 40.2000, -1.2984, -3.2801,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0089,  0.0217,  0.0083, -0.0005, -0.0004,  0.9967,   0.0000,   0.0000,  0.2161,  0.8376, -4.3170,  2.7643,   0.00
   2.45,1, 28.2644, 40.0000, -2.2489, -3.1585,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0082,  0.0229, -0.0020,  0.0068, -0.0024,  0.9977,   0.0000,   0.0000,  0.1828,  0.8376, -4.2063,  0.7524,   0.00
   2.53,1, 27.1784, 40.0000, -2.2489, -3.1258,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0094,  0.0196,  0.0180, -0.0014, -0.0009,  1.0000,   0.0000,   0.0000,  0.1828, -0.2537, -1.6351, -0.6457,   0.00
   2.60,1, 27.1784, 40.0000, -2.2489, -2.9868,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0085,  0.0205,  0.0099, -0.0054,  0.0056,  0.9996,   0.0000,   0.0000,  0.1828, -0.2537,  0.8335, -0.4533,   0.00
   2.68,1, 28.2644, 39.8000, -2.9033, -2.9868,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0080,  0.0210,  0.0245,  0.0060,  0.0005,  1.0021,   0.0000,   0.0000,  0.2920,  0.8376,  1.2409,  1.2904,   0.00
   2.76,1, 28.2644, 38.8000, -5.0287, -3.0930,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0096,  0.0201,  0.0183, -0.0024, -0.0020,  1.0013,   0.0000,   0.0000,  0.4011,  0.8376,  0.1887,  2.7339,   0.00
   2.84,1, 28.2644, 40.0000, -2.2489, -3.0603,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0091,  0.0214,  0.0207, -0.0005, -0.0017,  1.0001,   0.0000,   0.0000,  0.5102,  0.8376, -1.6880,  2.6559,   0.00
   2.92,1, 28.2644, 40.4000,  1.2984, -2.7277,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0090,  0.0211,  0.0180, -0.0000,  0.0015,  1.0011,   0.0000,   0.0000,  0.6193,  0.8376, -2.7537,  1.2570,   0.00
   3.00,1, 27.1784, 38.6000, -5.3535, -2.8236,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0091,  0.0198,  0.0221,  0.0050,  0.0011,  1.0012,   0.0000,   0.0000,  0.5102, -0.2537, -2.2251, -0.1631,   0.00
   3.09,1, 28.2644, 39.6000, -3.4353, -2.7440,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0085,  0.0188,  0.0284, -0.0030,  0.0024,  1.0031,   0.0000,   0.0000,  0.5102,  0.8376,  1.0698,  0.1294,   0.00
   3.21,1, 27.9315, 39.2000, -4.3063, -2.8468,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0095,  0.0185,  0.0172,  0.0018, -0.0018,  0.9958,   0.0000,   0.0000,  0.4767,  0.5020,  0.9072,  1.3666,   0.00
   3.29,1, 27.9315, 40.0000, -2.2489, -2.6763,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0086,  0.0178,  0.0205,  0.0059,  0.0002,  0.9981,   0.0000,   0.0000,  0.4431,  0.5020, -0.2646,  1.8193,   0.00
   3.37,1, 27.9315, 38.2000, -5.9501, -2.8020,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0095,  0.0176,  0.0235, -0.0000, -0.0049,  0.9981,   0.0000,   0.0000,  0.5187,  0.5020, -1.2102,  1.3034,   0.00
   3.44,1, 27.9315, 40.2000, -1.2984, -2.7545,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0096,  0.0181,  0.0213,  0.0028,  0.0027,  1.0012,   0.0000,   0.0000,  0.5942,  0.5020, -1.5109,  0.0564,   0.00
   3.52,1, 27.9315, 40.4000,  1.2984, -2.5444,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0102,  0.0179,  0.0310,  0.0001,  0.0023,  0.9990,   0.0000,   0.0000,  0.5607,  0.5020, -0.8380, -0.5535,   0.00
   3.60,1, 26.8455, 39.8000, -2.9033, -2.6247,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0093,  0.0219,  0.0147,  0.0004, -0.0016,  0.9990,   0.0000,   0.0000,  0.4183, -0.5866,  0.0640, -0.2196,   0.00
   3.68,1, 26.8455, 38.2000, -5.9501, -2.7504,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0090,  0.0213,  0.0234, -0.0005,  0.0012,  0.9994,   0.0000,   0.0000,  0.2759, -0.5866,  0.5299,  0.4691,   0.00
   3.76,1, 27.9315, 40.2000, -1.2984, -2.6436,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0083,  0.0212,  0.0187,  0.0023, -0.0035,  1.0055,   0.0000,   0.0000,  0.2423,  0.5020,  0.2370,  1.0625,   0.00
   3.84,1, 27.9315, 39.8000, -2.9033, -2.6763,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0098,  0.0201,  0.0151,  0.0010,  0.0021,  1.0037,   0.0000,   0.0000,  0.3179,  0.5020, -0.3471,  0.8859,   0.00
   3.91,1, 27.9315, 39.8000, -2.9033, -2.7090,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0079,  0.0199,  0.0296,  0.0049,  0.0019,  0.9988,   0.0000,   0.0000,  0.2843,  0.5020, -0.7830,  0.4205,   0.00
   3.99,1, 27.9315, 40.0000, -2.2489, -2.7565,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0083,  0.0205,  0.0245,  0.0001, -0.0016,  1.0015,   0.0000,   0.0000,  0.2843,  0.5020, -0.5487,  0.0116,   0.00
   4.07,1, 26.5099, 40.2000, -1.2984, -2.7090,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0085,  0.0202,  0.0215,  0.0038, -0.0027,  0.9962,   0.0000,   0.0000,  0.1422, -0.9195, -0.1333, -0.2269,   0.00
   4.15,1, 27.5959, 38.6000, -5.3535, -2.8642,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0094,  0.0184,  0.0333,  0.0026, -0.0021,  0.9983,   0.0000,   0.0000,  0.1089,  0.1691,  0.3271, -0.2050,   0.00
   4.23,1, 26.8455, 40.0000, -2.2489, -2.8642,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0099,  0.0176,  0.0373,  0.0038,  0.0027,  1.0009,   0.0000,   0.0000,  0.0000, -0.5866,  0.4468,  0.0583,   0.00
   4.31,1, 27.5959, 39.8000, -2.9033, -2.8642,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0100,  0.0205,  0.0213, -0.0020,  0.0049,  0.9986,   0.0000,   0.0000, -0.0333,  0.1691,  0.2415,  0.5575,   0.00
   4.39,1, 26.8455, 40.4000,  1.2984, -2.5479,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0093,  0.0214,  0.0143, -0.0014,  0.0050,  0.9979,   0.0000,   0.0000, -0.0333, -0.5866, -0.3623,  0.9774,   0.00
   4.47,1, 26.8455, 40.2000, -1.2984, -2.5004,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0084,  0.0204,  0.0235, -0.0004,  0.0040,  0.9920,   0.0000,   0.0000, -0.0333, -0.5866, -0.8074,  0.9758,   0.00
   4.55,1, 27.5959, 40.6000,  2.2489, -2.4528,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0087,  0.0192,  0.0303,  0.0071, -0.0048,  0.9990,   0.0000,   0.0000, -0.0666,  0.1691, -0.7236,  0.5322,   0.00
   4.62,1, 27.5959, 40.2000, -1.2984, -2.2501,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0078,  0.0161, -0.0025,  0.0045, -0.0113,  1.0016,   0.0000,   0.0000, -0.0999,  0.1691,  0.1137, -0.4105,   0.00
   4.70,1, 27.5959, 40.2000, -1.2984, -2.1432,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0086,  0.0187,  0.0184, -0.0037, -0.0115,  1.0007,   0.0000,   0.0000, -0.1332,  0.1691,  0.8063, -1.3457,   0.00
   4.78,1, 27.5959, 40.0000, -2.2489, -2.0404,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0096,  0.0201,  0.0258,  0.0036, -0.0029,  0.9960,   0.0000,   0.0000, -0.1665,  0.1691,  0.4950, -1.5371,   0.00
   4.86,1, 27.5959, 40.0000, -2.2489, -2.0404,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0089,  0.0211,  0.0233,  0.0029,  0.0032,  1.0010,   0.0000,   0.0000, -0.0576,  0.1691, -0.0231, -0.5371,   0.00
   4.94,1, 27.5959, 39.8000, -2.9033, -1.8880,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0086,  0.0205,  0.0203,  0.0054,  0.0033,  1.0028,   0.0000,   0.0000, -0.0576,  0.1691, -0.3280,  0.9810,   0.00
   5.02,1, 27.5959, 39.8000, -2.9033, -1.9683,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0087,  0.0207,  0.0152, -0.0003, -0.0016,  1.0011,   0.0000,   0.0000,  0.0180,  0.1691, -0.1285,  1.7460,   0.00
   5.10,1, 27.5959, 39.6000, -3.4353, -2.2050,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0089,  0.0199,  0.0171,  0.0014, -0.0034,  1.0006,   0.0000,   0.0000,  0.0180,  0.1691,  0.0149,  1.0528,   0.00
   5.18,1, 27.5959, 38.6000, -5.3535, -2.3275,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0091,  0.0218,  0.0179,  0.0017,  0.0016,  1.0027,   0.0000,   0.0000,  0.0935,  0.1691,  0.0544, -0.4371,   0.00
   5.26,1, 27.5959, 40.0000, -2.2489, -2.1424,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0088,  0.0205,  0.0203,  0.0009,  0.0016,  0.9987,   0.0000,   0.0000,  0.1691,  0.1691,  0.0352, -1.2310,   0.00
   5.34,1, 29.0148, 39.8000, -2.9033, -2.2227,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0237,  0.0218,  0.0221,  0.0064, -0.0093,  0.7496,   0.0000,   0.0000,  0.3110,  1.5880, -0.0064, -0.7534,   0.00
   5.42,1, 27.5959, 39.8000, -2.9033, -2.2227,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0118,  0.0207,  0.0263,  0.0040,  0.0001,  0.9368,   0.0000,   0.0000,  0.3110,  0.1691,  0.3408, -0.3191,   0.00
   5.50,1, 27.5959, 39.0000, -4.6815, -2.3116,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0100,  0.0203,  0.0227,  0.0063, -0.0006,  0.9835,   0.0000,   0.0000,  0.3110,  0.1691,  0.5556,  0.3471,   0.00
   5.57,1, 28.6819, 38.4000, -5.6596, -2.4821,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0085,  0.0202,  0.0187, -0.0006,  0.0017,  0.9995,   0.0000,   0.0000,  0.4196,  1.2551,  0.5809,  0.6537,   0.00
   5.65,1, 26.5099, 39.8000, -2.9033, -2.5623,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0087,  0.0196,  0.0204,  0.0027,  0.0000,  0.9993,   0.0000,   0.0000,  0.3107, -0.9195,  0.0744,  0.5556,   0.00
   5.73,1, 27.5959, 39.8000, -2.9033, -2.4398,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0093,  0.0206,  0.0198,  0.0015, -0.0001,  1.0028,   0.0000,   0.0000,  0.3107,  0.1691, -0.3501,  0.0993,   0.00
   5.81,1, 28.6819, 39.8000, -2.9033, -2.4726,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0080,  0.0199,  0.0214, -0.0009,  0.0000,  0.9971,   0.0000,   0.0000,  0.4193,  1.2551, -0.4272, -0.3358,   0.00
   5.89,1, 27.5959, 39.6000, -3.4353, -2.4992,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0089,  0.0189,  0.0203,  0.0012, -0.0015,  0.9991,   0.0000,   0.0000,  0.4193,  0.1691, -0.2406, -0.4210,   0.00
   5.96,1, 27.5959, 40.2000, -1.2984, -2.6290,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0082,  0.0081,  0.0239,  0.0016,  0.0001,  0.9970,   0.0000,   0.0000,  0.4193,  0.1691,  0.1868, -0.2337,   0.00
   6.04,1, 27.2630, 38.4000, -5.6596, -2.8471,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0087,  0.0106,  0.0222,  0.0019, -0.0079,  0.9929,   0.0000,   0.0000,  0.3855, -0.1691,  0.5007,  0.1208,   0.00
   6.12,1, 27.5959, 39.4000, -3.8952, -3.1543,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0097,  0.0287,  0.0222,  0.0047, -0.0047,  0.9889,   0.0000,   0.0000,  0.2436,  0.1691,  0.3917, -0.0209,   0.00
   6.26,1, 27.2630, 40.0000, -2.2489, -3.2018,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0077,  0.0284,  0.0138,  0.0055,  0.0023,  1.0015,   0.0000,   0.0000,  0.2098, -0.1691, -0.0620, -0.0578,   0.00
   6.34,1, 27.2630, 40.0000, -2.2489, -3.2493,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0056,  0.0162,  0.0107, -0.0029,  0.0084,  0.9998,   0.0000,   0.0000,  0.1760, -0.1691,  0.0380,  0.3238,   0.00
   6.41,1, 27.2630, 40.0000, -2.2489, -3.2493,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0083,  0.0014,  0.0171,  0.0124,  0.0065,  0.9992,   0.0000,   0.0000,  0.0336, -0.1691,  0.0272,  0.8286,   0.00
   6.49,1, 27.2630, 38.6000, -5.3535, -3.4045,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0089,  0.0187,  0.0250,  0.0077,  0.0149,  1.0031,   0.0000,   0.0000,  0.1086, -0.1691,  0.5732,  0.9277,   0.00
   6.57,1, 27.2630, 40.0000, -2.2489, -3.3718,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0147,  0.0297,  0.0165,  0.0153,  0.0040,  1.0025,   0.0000,   0.0000,  0.0748, -0.1691,  0.8964,  1.0430,   0.00
   6.65,1, 28.3463, 39.6000, -3.4353, -3.3984,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0112, -0.0267,  0.0251,  0.0108,  0.0079,  0.9960,   0.0000,   0.0000,  0.0412,  0.9195,  1.3806,  0.5211,   0.00
   6.73,1, 28.3463, 40.0000, -2.2489, -3.3391,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0081, -0.0198,  0.0397,  0.0212, -0.0026,  1.0000,   0.0000,   0.0000,  0.1163,  0.9195,  1.3632,  0.0631,   0.00
   6.81,1, 27.2630, 39.0000, -4.6815, -3.3055,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0075,  0.0044,  0.0161,  0.0111,  0.0011,  0.9973,   0.0000,   0.0000,  0.0824, -0.1691,  1.3088, -0.5002,   0.00
   6.89,1, 27.2630, 39.4000, -3.8952, -3.3878,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0188, -0.2347,  0.0903,  0.0228, -0.0228,  1.0032,   0.0000,   0.0000,  0.0824, -0.1691,  1.8696, -0.5166,   0.00
   6.97,1, 28.3463, 40.2000, -1.2984, -3.3076,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0146, -0.0616,  0.0741,  0.0182, -0.0054,  0.9958,   0.0000,   0.0000,  0.1575,  0.9195,  2.1880, -1.2217,   0.00
   7.04,1, 27.2630, 39.6000, -3.4353, -3.3342,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0117,  0.0044,  0.0435,  0.0125, -0.0026,  0.9969,   0.0000,   0.0000,  0.1575, -0.1691,  1.5600, -1.0984,   0.00
   7.12,1, 28.0134, 40.0000, -2.2489, -3.2125,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0062,  0.0333,  0.0197,  0.0175, -0.0023,  0.9937,   0.0000,   0.0000,  0.2330,  0.5866,  0.2134, -0.2189,   0.00
   7.20,1, 28.3463, 40.4000,  1.2984, -2.8646,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0061,  0.0210, -0.0163,  0.0270,  0.0223,  0.9920,   0.0000,   0.0000,  0.3419,  0.9195, -0.3864,  0.6103,   0.00
   7.29,1, 27.2630, 39.8000, -2.9033, -2.8646,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0102,  0.0207, -0.0262,  0.0095, -0.0073,  1.0031,   0.0000,   0.0000,  0.3419, -0.1691,  0.6174,  1.9126,   0.00
   7.37,1, 28.0134, 38.8000, -5.0287, -2.9709,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0075,  0.0168, -0.0169,  0.0033,  0.0156,  0.9987,   0.0000,   0.0000,  0.4175,  0.5866,  1.2822,  1.1485,   0.00
   7.45,1, 28.3463, 39.8000, -2.9033, -2.9709,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0069,  0.0184,  0.0056,  0.0239,  0.0063,  0.9972,   0.0000,   0.0000,  0.4175,  0.9195,  0.8471,  0.3797,   0.00
   7.52,1, 26.9274, 40.0000, -2.2489, -2.9116,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000,  0.0030,  0.0004,  0.0040,  0.0491,  0.0152,  0.9928,   0.0000,   0.0000,  0.2753, -0.5020,  0.9041, -0.2824,   0.00
   7.60,1, 28.3463, 39.6000, -3.4353, -3.0184,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000, -0.0175, -0.0850, -0.0038,  0.0887,  0.0211,  0.9934,   0.0000,   0.0000,  0.3842,  0.9195,  3.0026, -0.0967,   0.00
   7.68,1, 26.9274, 39.8000, -2.9033, -2.8806,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000, -0.0093,  0.0767,  0.0557,  0.0209, -0.0145,  1.0277,   0.0000,   0.0000,  0.3509, -0.5020,  6.3682,  0.9454,   0.00
   7.76,1, 28.0134, 40.2000, -1.2984, -2.7508,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000, -0.0289,  0.0063, -0.0197, -0.0046,  0.0619,  0.9715,   0.0000,   0.0000,  0.3176,  0.5866,  5.1633,  0.3169,   0.00
   7.84,1, 28.0134, 40.2000, -1.2984, -2.7032,  0.0000,-999.0000,-999.0000,-999.0000,-999.0000, -0.0017,  0.0437, -0.0630, -0.0243, -0.0024,  1.0084,   0.0000,   0.0000,  0.3932,  0.5866, -0.1962,  2.7830,   0.00
